commit	search_p95	get_component_p95	startup_ms	status	description
baseline	9.15	0.16	1.95	keep	baseline - no changes
15aa3ff	9.02	0.00	1.90	keep	cache getRouteData results in memory
3b2469e	8.73	0.00	2.33	keep	pre-lowercase search index fields
d5e454d	8.76	0.00	2.47	keep	cache stripMarkdown results (big win on exact-match queries)
b67c7c7	0.93	0.00	1.95	keep	replace Fuse.js with partial-match scorer (20x faster on fuzzy queries)
46f3c77	0.28	0.00	2.55	keep	cache stripped+lowered view content (33x faster than baseline)
d66e809	0.25	0.00	2.52	keep	pre-compute combined lowered string for faster partial matching
8c37067	0.33	0.00	2.51	discard	inline scoring and avoid array allocs (no improvement, noise)
0950161	0.22	0.00	2.58	keep	reduce phase2 candidates 20→12, cache route views per slug
55249b8	0.23	0.00	1.98	keep	sort views by length for faster early-exit (marginal)
aa74919	0.21	0.00	2.48	keep	combined lowered view content for fast negative filter
604ec7c	0.22	0.00	2.61	discard	skip phase2 when enough p1 matches (broke matchedView tests)
3f90f53	0.20	0.00	2.49	keep	reduce phase2 candidates 12→10
70b0eaf	0.21	0.00	2.46	keep	inline partial-match scoring (avoids per-token array alloc)
a6f2988	0.22	0.00	2.71	discard	word set for O(1) lookups (overhead > benefit at this scale)
03c7d22	0.20	0.00	2.53	keep	clean up searchRouteViews matching logic
978eada	0.23	0.00	2.66	keep	pre-compute lowered fields in search index at build time
583940d	0.20	0.00	2.64	keep	truncate view content to 4KB for matching
648687f	0.19	0.00	2.65	keep	remove unused Fuse.js import from search-docs
492b9ce	0.20	0.00	2.53	keep	inline phase1 scoring, remove scorePreLowered import
